region,cut_com,commune,forms,news,search,webmap,streetmap,transport,socialmedia,email,phone,mobile,transac,followup,digital_certificate,citizen,payments,personalization,part
MAULE,7402,COLBUN,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
MAULE,7102,CONSTITUCION,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
MAULE,7103,CUREPTO,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
MAULE,7301,CURICO,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0
MAULE,7104,EMPEDRADO,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0
MAULE,7302,HUALAÑE,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0
MAULE,7303,LICANTEN,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0
MAULE,7401,LINARES,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
MAULE,7403,LONGAVI,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0
MAULE,7105,MAULE,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0
MAULE,7304,MOLINA,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0
MAULE,7404,PARRAL,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0
MAULE,7106,PELARCO,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
MAULE,7203,PELLUHUE,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0
MAULE,7107,PENCAHUE,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
MAULE,7305,RAUCO,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0
MAULE,7405,RETIRO,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
MAULE,7108,RIO CLARO,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0
MAULE,7306,ROMERAL,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0
MAULE,7307,SAGRADA FAMILIA,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
MAULE,7109,SAN CLEMENTE,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0
MAULE,7406,SAN JAVIER,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0
MAULE,7110,SAN RAFAEL,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
MAULE,7101,TALCA,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0
MAULE,7308,TENO,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1
MAULE,7309,VICHUQUEN,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
MAULE,7407,VILLA ALEGRE,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
MAULE,7408,YERBAS BUENAS,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
BIOBIO,8314,ALTO BIOBIO,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0
BIOBIO,8302,ANTUCO,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
BIOBIO,8202,ARAUCO,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0
BIOBIO,16102,BULNES,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
BIOBIO,8303,CABRERO,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
BIOBIO,8203,CAÑETE,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0
BIOBIO,8103,CHIGUAYANTE,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,16101,CHILLAN,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0
BIOBIO,16103,CHILLAN VIEJO,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
BIOBIO,16202,COBQUECURA,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,16203,COELEMU,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0
BIOBIO,16302,COIHUECO,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
BIOBIO,8101,CONCEPCION,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0
BIOBIO,8204,CONTULMO,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
BIOBIO,8102,CORONEL,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
BIOBIO,8205,CURANILAHUE,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
BIOBIO,16104,EL CARMEN,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
BIOBIO,8104,FLORIDA,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,8112,HUALPEN,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0
BIOBIO,8105,HUALQUI,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,8304,LAJA,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
BIOBIO,8201,LEBU,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,8206,LOS ALAMOS,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
BIOBIO,8301,LOS ANGELES,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1
BIOBIO,8106,LOTA,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,8305,MULCHEN,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
BIOBIO,8306,NACIMIENTO,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
BIOBIO,8307,NEGRETE,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
BIOBIO,16204,NINHUE,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,16303,ÑIQUEN,,,,,,,,,,,,,,,,,
BIOBIO,16105,PEMUCO,,,,,,,,,,,,,,,,,
BIOBIO,8107,PENCO,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
BIOBIO,16106,PINTO,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0
BIOBIO,16205,PORTEZUELO,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0
BIOBIO,8308,QUILACO,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,8309,QUILLECO,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0
BIOBIO,16107,QUILLON,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
